Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Scrambled Eggs (2 large),Protein/Dairy,180,12,2,14,0,1,180,370,Breakfast,250,,Healthy
Whole Wheat Toast (1 slice),Grain,80,4,14,1,2,2,140,0,Breakfast,0,,Healthy
Coffee (black),Beverage,5,0.3,0,0.1,0,0,5,0,Breakfast,0,,Healthy
Banana,Fruit,105,1.3,27,0.4,3.1,14,1,0,Breakfast,0,,Moderate
Grilled Chicken Salad,Meal/Protein,350,30,10,20,5,4,400,80,Lunch,500,,Healthy
Apple,Fruit,95,0.5,25,0.3,4.4,19,2,0,Snack,0,,Healthy
Salmon (4oz grilled),Protein/Fish,230,25,0,14,0,0,60,60,Dinner,250,,Healthy
Quinoa (1 cup cooked),Grain,222,8,39,3.6,5,1,13,0,Dinner,0,,Healthy
Steamed Broccoli (1 cup),Vegetable,55,3.7,11.2,0.6,5.1,2,40,0,Dinner,0,,Healthy
Greek Yogurt (plain 1 cup),Dairy,150,25,8,3,0,7,85,10,Snack,250,,Healthy
Oatmeal (1 cup cooked),Grain,160,6,28,3,4,1,2,0,Breakfast,250,,Healthy
Blueberries (1/2 cup),Fruit,42,0.5,11,0.2,1.8,7,1,0,Breakfast,0,,Healthy
Almonds (1 oz),Nut,164,6,6,14,3.5,1,1,0,Snack,0,,Healthy
Turkey Sandwich (on wheat),Meal/Processed,340,22,34,12,5,6,850,50,Lunch,500,,Healthy
Carrot Sticks (1 cup),Vegetable,52,1.2,12.3,0.3,3.6,6,88,0,Snack,0,,Healthy
Spaghetti Bolognese,Meal/Pasta,460,20,55,18,6,10,700,50,Dinner,250,,Moderate
Side Salad (light dressing),Vegetable,70,2,8,4,3,3,150,0,Dinner,0,,Healthy
Protein Shake (Whey),Supplement,120,24,3,1,1,2,160,5,Snack,500,,Healthy
Cereal (Frosted Flakes 1 cup),Grain/Processed,130,2,31,0,1,11,190,0,Breakfast,0,,Healthy
Milk (2%, 1 cup),110,122,8,12,5,0,12,100,20,Breakfast,0,Healthy
Lentil Soup (1 can),Meal/Legume,230,15,35,3,12,6,650,0,Lunch,250,,Healthy
White Rice (1 cup cooked),Grain,204,4.2,44.5,0.4,0.6,0.1,2,0,Dinner,0,,Healthy
Tofu Stir-fry,Meal/Vegetarian,400,18,30,22,7,9,500,0,Dinner,250,,Moderate
Orange,Fruit,62,1.2,15.4,0.2,3.1,12,0,0,Snack,0,,Healthy
Bagel (plain),Grain,270,11,55,1.5,2,5,430,0,Breakfast,250,,Moderate
Cream Cheese (2 tbsp),Dairy,100,2,2,10,0,1,90,30,Breakfast,0,,Healthy
Tuna Salad (1/2 cup),Meal/Fish,190,19,2,12,1,1,400,30,Lunch,500,,Healthy
Crackers (5 whole wheat),Grain/Processed,90,2,14,3,2,0,180,0,Lunch,0,,Healthy
Beef Steak (6oz sirloin),Protein/Meat,270,42,0,10,0,0,90,115,Dinner,250,,Healthy
Baked Potato (medium),Vegetable,160,4.3,36,0.2,3.8,1,17,0,Dinner,0,,Healthy
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.5,17,7.5,0.5,16,55,30,Snack,0,,Moderate
Pizza (1 slice pepperoni),Meal/Processed,290,12,34,12,2,4,720,35,Dinner,250,,Moderate
Avocado Toast (1 slice),Meal/Vegetarian,260,7,28,15,10,1,350,0,Breakfast,500,,Healthy
Hard-Boiled Egg (1 large),Protein,78,6.3,0.6,5.3,0,0.5,62,187,Snack,0,,Healthy
Chicken Wrap (with tortilla),Meal/Processed,410,25,38,17,5,3,780,60,Lunch,250,,Moderate
Grapes (1 cup),Fruit,104,1.1,27,0.2,1.4,23,3,0,Snack,0,,Moderate
Cottage Cheese (1/2 cup),Dairy,90,12,5,3,0,4,400,10,Snack,0,,Healthy
Burger (cheeseburger),Meal/Processed,550,30,40,30,3,7,1100,90,Dinner,500,,Unhealthy
French Fries (medium),Vegetable/Processed,340,4,44,17,4,0.3,230,0,Dinner,0,,Healthy
Protein Bar,Supplement/Processed,210,20,22,7,6,1,180,5,Snack,500,,Healthy
Black Beans (1/2 cup),Legume,114,7.6,20.4,0.5,7.5,0.3,1,0,Lunch,0,,Healthy
Salsa (1/4 cup),Vegetable,20,0.8,4.5,0.1,1,3,250,0,Lunch,0,,Healthy
Chicken Noodle Soup (1 can),Meal/Processed,150,7,18,5,2,2,890,15,Lunch,250,,Moderate
Peanut Butter (2 tbsp),Nut,190,7,8,16,2,3,140,0,Snack,0,,Moderate
Celery Sticks (1 cup),Vegetable,14,0.6,3,0.2,1.4,1.2,77,0,Snack,0,,Healthy
Cod (4oz baked),Protein/Fish,95,20,0,0.8,0,0,95,55,Dinner,250,,Healthy
Green Beans (1 cup),Vegetable,31,1.8,7,0.2,2.7,3.3,6,0,Dinner,0,,Healthy
Chocolate Chip Cookie (1 large),Dessert,220,2.5,30,11,1.5,19,160,20,Snack,0,,Moderate
Tea (Green, 1 cup),110,2,0.5,0,0,0,0,2,0,Breakfast,250,Healthy
Shrimp (3oz steamed),Protein/Fish,84,20,0.2,0.2,0,0,100,161,Dinner,250,,Healthy
Pancakes (2 medium),Grain,180,5,30,5,1,6,450,25,Breakfast,0,,Moderate
Maple Syrup (2 tbsp),Condiment,104,0,27,0,0,24,2,0,Breakfast,0,,Moderate
Sausage Link (1 cooked),Protein/Meat,85,5,1,7,0,0.5,300,20,Breakfast,0,,Healthy
